id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
38585,Charming Victorian home - twin beds + breakfast,165529,Evelyne,,28804,35.65146,-82.62792,Private room,60,2,134,2019-09-02,1.23,1,75
80905,French Industrial Chic Loft,427027,Celeste,,28801,35.59701,-82.55237,Entire home/apt,765,1,99,2019-07-28,1.01,10,350
108061,"Walk downtown or UNCA, Pets OK!",320564,Lisa,,28801,35.6067,-82.55563,Entire home/apt,75,30,87,2019-03-31,0.89,2,306
155305,Cottage! BonPaul + Sharky's Hostel,746673,BonPaul,,28806,35.57972,-82.59617,Entire home/apt,107,1,219,2019-09-21,2.20,7,335
156805,"Private Room ""Ader"" at BPS Hostel",746673,BonPaul,,28806,35.57755,-82.59697,Private room,71,1,60,2019-09-08,0.61,7,343
156926,"Mixed Dorm ""Top Bunk #1"" at BPS Hostel",746673,BonPaul,,28806,35.57776,-82.595,Shared room,26,1,264,2019-09-19,2.68,7,345
160594,Historic Grove Park,769252,Elizabeth,,28801,35.61442,-82.54127,Private room,125,30,58,2015-10-19,0.58,1,365
189916,The Very Best Location Downtown,916386,Amy,,28801,35.59055,-82.55447,Private room,127,2,143,2015-08-16,1.46,1,270
209068,Terrace Cottage,1029919,Kevin,,28804,35.61856,-82.55276,Entire home/apt,134,30,53,2018-10-31,0.54,1,331
213006,Blue Gate West,1098412,Susanne,,28806,35.58345,-82.59713,Private room,59,3,130,2019-09-02,1.46,1,347
246315,Asheville Dreamer's Cabin,1292070,Annie,,28805,35.59635,-82.50655,Private room,65,3,55,2019-07-05,0.58,2,48
259576,"Private, peaceful, and free goat therapy",1362726,Julia,,28805,35.61929,-82.48114,Entire home/apt,78,2,492,2019-09-22,5.17,2,282
295496,The Fern Street Apt near Biltmore,1501882,Debbie,,28803,35.55537,-82.53539,Entire home/apt,50,28,31,2019-06-14,0.33,1,201
304379,REFOCUS COTTAGE- available April 30th,1566145,Gayle,,28804,35.64453,-82.52586,Entire home/apt,110,30,24,2019-08-03,0.26,2,365
353092,ATHENA'S LOFT:  Find yourself here!,1788071,Beth,,28806,35.58217,-82.59997,Entire home/apt,76,1,477,2019-08-19,6.43,1,331
427497,Luxurious Mountain Guest Suite Apartment,1909922,Milan,,28803,35.49111,-82.48438,Entire home/apt,125,2,34,2018-07-07,0.40,1,313
433646,Historic Arts and Craft Home,1931430,Ana,,28801,35.57771,-82.56094,Private room,115,2,94,2019-09-02,1.05,2,361
483384,"Romantic, Moroccan-Influenced Cottage",467421,Camille,,28803,35.56118,-82.57784,Entire home/apt,120,1,406,2019-09-23,6.67,1,271
495111,Walk Downtown private bath peaceful,12874214,David,,28801,35.60313,-82.55552,Private room,95,1,298,2019-09-20,3.37,3,343
539020,Comfy/quiet West Asheville getaway,2647849,Kim,,28806,35.57318,-82.59976,Entire home/apt,100,2,178,2017-03-09,2.04,1,320
563189,The Keep is The Best!,1353021,Robyn,,28803,35.57398,-82.54488,Private room,60,2,184,2019-09-15,2.10,2,352
612660,Charming West Asheville Bungalow Monthly Rental,3039083,Chloe,,28806,35.57901,-82.58887,Entire home/apt,130,30,67,2018-09-30,0.77,2,209
621243,The birdhouse.Sweet suite! Downtown Roof top deck!,3079174,Molly,,28801,35.60418,-82.54964,Entire home/apt,118,1,59,2019-09-23,3.18,1,161
634319,Private Asheville Cabin Apartment,1202653,Jim And Jan,,28805,35.62839,-82.47989,Entire home/apt,150,3,30,2019-09-01,0.36,1,309
653777,The Cloister,1353021,Robyn,,28803,35.57136,-82.5424,Private room,30,2,116,2019-01-03,1.35,2,274
660702,Private Home 1 mile to downtown,3335271,Brady,,28804,35.62166,-82.55373,Entire home/apt,75,1,368,2019-09-13,8.34,1,333
674894,Lovely mountain home with a view!,614610,Linda,,28805,35.62272,-82.50285,Private room,49,2,165,2019-09-01,2.11,2,353
677692,"Walk downtown, blocks from grocery/shops!",397780,Susan,,28801,35.60391,-82.55148,Entire home/apt,45,30,15,2019-04-30,0.18,1,121
695196,"Private, Downtown & River Arts",3552264,Michelle,,28801,35.58037,-82.5578,Private room,49,1,886,2019-09-20,10.40,2,331
720609,City Vibe Loft,427027,Celeste,,28801,35.59823,-82.55251,Entire home/apt,309,1,67,2019-09-23,0.80,10,349
723349,#2 Blue Ridge Room at Oakland Cottage B&B,3736218,Mary,,28801,35.57436,-82.55623,Private room,171,2,4,2019-07-28,0.06,6,63
723410,Asheville Mountain Vista 3mi to Downtown Asheville,3736218,Mary,,28804,35.62859,-82.5186,Entire home/apt,350,3,5,2019-08-25,0.06,6,232
751963,Come Home in West Asheville!,3920284,Lauralee,,28806,35.57805,-82.58342,Entire home/apt,99,1,100,2018-10-28,1.27,1,239
